text,label
Ned aKelly is such an important story to Australians but this movie is awful. It's an Australian story yet it seems like it was set in America. Also Ned was an Australian yet he has an Irish accent...it is the worst film I have seen in a long time,0
Outlandish premise that rates low on plausibility and unfortunately also struggles feebly to raise laughs or interest. Only Hawn's well-known charm allows it to skate by on very thin ice. Goldie's gotta be a contender for an actress who's done so much in her career with very little quality material at her disposal...<br /><br />,0
"Not only is it a disgustingly made low-budget bad-acted movie, but the plot itself is just STUPID!!!<br /><br />A mystic man that eats women? (And by the looks, not virgin ones)<br /><br />Ridiculous!!! If you´ve got nothing better to do (like sleeping) you should watch this. Yeah right.",0
"Nine minutes of psychedelic, pulsating, often symmetric abstract images, are enough to drive anyone crazy. I did spot a full-frame eye at the start, and later some birds silhouetted against other colors. It was just not my cup of tea. It's about 8½ minutes too long.",0
"The silent one-panel cartoon Henry comes to Fleischer Studios, billed as ""The world's funniest human"" in this dull little cartoon. Betty, long past her prime, thanks to the Production Code, is running a pet shop and leaves Henry in charge for far too long -- five minutes. A bore.",0
"This film, The Alamo:Thirteen Days to Glory, is utter rubbish. The acting is awful, it is far too patriotic and its historical accuracy is not always at its best (Historians would have a field day). It does have a few good moments but not enough to keep interest because it is far too long. Rating * out of **********.",0
"Sorry, gave it a 1, which is the rating I give to movies on which I walk out or fall asleep. In this case I fell asleep 10 minutes from the end, really, really bored and not caring at all about what happened next.",0
"There's one line that makes it worth to rent for Angel fans. Everyone else: this is just a very bad horror flick. The female characters are typical horror movies females. They are wooden, annoying and dumb. You are glad when they are killed off. Long live the strong female character in a horror movie!!",0
"This stalk and slash turkey manages to bring nothing new to an increasingly stale genre. A masked killer stalks young, pert girls and slaughters them in a variety of gruesome ways, none of which are particularly inventive.<br /><br />It's not scary, it's not clever, and it's not funny. So what was the point of it?",0
"The worst movie I have seen in a while. Yeah its fun to fantasize, but if that is what you are looking for, I suggest you see Brewsters Millions. This was just terrible and corny and terrible at being corny. Unless you are five or like terrible movies, don't see this one.",0
"Because IT IS, that's why! This is the same jealous-daughter-kills-people flick we've seen a billion times. Rosanna Arquette makes anything worth watching, and Mandy Schaffer's brief nude scene (after teasing via scantily clad attire throughout the film) at the end almost make this trite blarney worthwhile, but not quite.<br /><br />* out of ****",0
"This movie is so bad, I knew how it ends right after this little girl killed the first person. Very bad acting very bad plot very bad movie<br /><br />do yourself a favour and DON'T watch it 1/10",0
"Mere thoughts of ""Going Overboard"" (aka ""Babes Ahoy"") make me want to weep. Throwing yourself out a window would be better than watching this movie. It's not even a supposed ""so bad it's good"" movie. I would spend money to buy copies of this movie and burn them so that people can't see it. Oh the pain, the pain...",0
"...okay, maybe not all of it. Lured by the false promise of bikini-clad women on the movie's cover...but the HORROR...THE HORROR... ...whatever you do, do NOT watch this movie. Gouge out your eyes, repeatedly bash your skull in...do what it takes. Never again--never forget!<br /><br />",0
Unwatchable. You can't even make it past the first three minutes. And this is coming from a huge Adam Sandler fan!!1,0
"Despite the high ratings given to this film by IMDB users, this is nothing more than your typical girl-with-a-bad-childhood-obsessively-stalks-married-man film. The attractive Justine Priestly's brief nude scenes may attract voyeurs, but the film is hackneyed tripe.<br /><br />* 1/2 out of ****",0
You'd better choose Paul Verhoeven's even if you have watched it.,0
photography was too jumpy to follow. dark scenes hard to see.<br /><br />Had good story line too bad it got lost somewhere. Too noisy for what was really happening Bottom line is it's a baddddd movie,0
This was an incredibly stupid movie. It was possibly the worst movie I've ever had the displeasure of sitting through. I cannot fathom how it ranks a rating of 5 or 6.............,0
"A stale ""misfits-in-the-army"" saga, which half-heartedly attempts to be both surreal (the foreign subtitles) AND vulgar (the flatulence gags), but just ends up being a mix of many different kinds of humor, none of them followed very successfully. Barbara Bach, the Bond Girl from ""The Spy Who Loved Me"", has only two or three brief scenes. What a waste! (*1/2)",0
"Wow. This is really not that good. <br /><br />I would like to agree with the others in that at least the acting is good... it is, but it is nothing special.<br /><br />The movie is so precictable and i for one am sick of receiving culture info through movies.<br /><br />*/****",0
"Other than some neat special effects, this movie has nothing to offer. They threw in some gore and some nudity to try and make it interesting, but with no success. Kevin Bacon's acting was pretty good, but he couldn't salvage the movies lack of plot.",0
"Besides being boring, the scenes were oppressive and dark. The movie tried to portray some kind of moral, but fell flat with its message. What were the redeeming qualities?? On top of that, I don't think it could make librarians look any more unglamorous than it did.",0
"This movie was messed up. A sequel to ""John Carpenter's Vampires"", this didn't add up right. I'm not sure that I enjoyed this much. It was a little strange. Stick to the first ""Vampires"", it's a good movie. ""Vampires: Los Muetos"" wasn't a good attempt of a sequel.<br /><br />4/10",0
This movie was very very mediocre and very very gory. everyone left their acting lessons at home and totally forgot how to act I mean it was so bad and had no real plot and kindergarteners could have written a better story plot wait what story plot. not at all scary!,0
This should not have been listed as a Colombo because in my opinion it does not resemble any of the other Colombo ever made. This should have been listed as a movie starring Peter Falk and not playing the caracter of Colombo because it does not do justice at all to our great lieutenant Colombo.,0
Most definitely the worst Columbo ever dreamt up. No murder and the abandonment of the tried and tested formula makes this a real drag. Falk looks bored throughout and so will you be if you waste anytime watching this.,0
"i am very disappointed with this movie because i like these french actors and i liked ""Buffet Froid"" from this Director (bertrand blier) but the script of ""Les Acteurs"" is VERY POOR. why these actors they agreed to play this poor scenario.",0
"This has an interesting, albeit somewhat fanciful sci-fi plot, but it's wasted with poor direction and shlocky special effects. Rae Dawn Chong is appealing, despite the lack of a believable story and direction consistent with her talent.",0
"Long, boring, blasphemous. Never have I been so glad to see ending credits roll.",0
"I love these actors, but they were wasted in this flick.<br /><br />I can only wonder, what WERE they thinking agreeing to this crap???<br /><br />Debra Winger just phoned it in; Dennis Quaid and Arliss Howard were caricatures. Some people thought it was deep. Well, if you liked ""Breaking the Waves"", you'll probably like this too. I hated both. 3/10",0
I can't believe they got the actors and actresses of that caliber to do this movie. That's all I've got to say - the movie speaks for itself!!,0
A somewhat dull made for tv movie which premiered on the TBS cable station. Antonio and Janine run around chasing a killer computer virus and...that's about it. For trivia buffs this will be noted as debuting the same weekend that the real life 'Melissa' virus also made it's debut in e-mail inboxes across the world.,0
"Although the director tried(the filming was made in Tynisia and Morocco),this attempt to transport the New Testament in the screen failed.The script has serious inaccuracies and fantasies,while the duration is very long.But the most tragic is the protagonist Chris Sarandon,who doesn't seem to understand the demands of his role.",0
"Predictable plot. Simple dialogue. Shockingly unemotional performances. But Robert Downey, Jr. is so cute, I gave this ""poor man's afternoon special"" a 3 instead of the 1 or 2 it so richly deserved.",0
"I may not be the one to review this movie because after 45 minutes of pure boredom and stupidity I turned the channel. The original series only lasted 2 years which can be said about the careers for Adam West and Burt Ward. Put these two ""actors"" in a stupid movie and the result is twice as bad.",0
"I cannot believe this woodenly written and directed piece of cliche film got made. There are about four good looking shots (the director should think about switching to still photography) and that's it. A strong cast is utterly wasted, scenes repeatedly end at the least interesting moments and the script says nothing new. Please spare yourself this movie.",0
"Yet another forgettable Warners foreign intrigue ""thriller,"" this is rendered even less enjoyable by the irritating presence of Lauren Bacall, who, without Humphrey Bogart's tender attentions to humanize her, comes off as her usual shrill, shallow self. Even master gigolo Charles Boyer cannot feign romantic interest in her.",0
"Sophia Loren plays Aida, in one of the worst films of all time. She can't lipsync. In terms of production values, the film is so bad, that at one point, while Loren is mouthing ""O Patria Mia,"" she leans onto what looks to be a stone wall for support, and the canvas set billows and shakes.",0
"Not much to say beyond the summary, save that this is an example of J. Edgar's Hoover's constant attention to maintaining a good ""PR"" profile. They don't make movies this bad very often, especially with the likes of Jimmy Stewart and Vera Miles in the blend. Too bad. <br /><br />",0
"I've seen this film because I had do (my job includes seeing movies of all kinds). I couldn't stop thinking ""who gave money to make such an awful film and also submit it to Cannes Festival!"" It wasn't only boring, the actors were awful as well. It was one of the worst movies I've ever seen.",0
Boring and appallingly acted(Summer Pheonix). She sounded more Asian than Jewish. Some of the scenes and costumes looked more mid 20th century than late 19th century. What on earth fine actors like Ian Holm & Anton Lesser were doing in this is beyond me.,0
"I didn't know it was possible to release a movie this bad. The labeling sounded so promising, but you would think that with a cast of 20, at least one of them would be able to act. My wife left me and went to bed after the first 20 minutes. She made a wise decision.",0
"The acting is some of the worst I've ever seen, the characters are totally unconvincing. This could be overlooked to some extent if the plot was interesting, which the plot to ""The Prodigy"" was not. It's sort of a bad mix between ""Fresh"" and ""Animal House"", except that both of those movies were good.",0
"What's up with Robert ""Pretentious"" Altman? Was he saving on lighting? Everything was so dark in this boring movie that it was laughable. I mean, have you ever seen a lawyer's office where everyone works by candlelight?<br /><br />Don't waste your time. In fact, don't waste your time with anything Altman makes: It's all a pretentious waste of film.",0
The only thing remarkable about this movie? is that all the actors could bomb at the same time. Idiocy. I want my money back...and I got it free from the library. Sheesh. I would rather chew on tin fool and shave my head with a cheese grater then watch this again.,0
"The first hour of the movie was boring as hell. There is no suspense, no action, not even a plot. The movie went no where. I mean they could have made the movie in 15 min short film. Overall, the movie wasn't good at all, and I don't recommend it.",0
".... this movie basks too much in its own innocence. It doesn't tell a story; it's more a big time snooze fest. While the actors are all personable, the story is so trite and goes nowhere. I think Victor Rasuk has great charisma, but deserves a real film from a real storyteller.",0
"I don't understand how ""2 of us"" receive such a high rating... I thought that the first half dragged on and the second half didnt make sense, followed by an unresolved climax which was not worth the trouble. However, I did like Jared Harris' performance of John Lennon which was worth the wasted 2 hours.",0
"The acting was bad, the script was bad and the ending was just terrible...the only good comment i could make about this movie would be the special effects and make up...but apart from that...this movie would be one of the worst movies of 2001...why on earth did they have to remake such a perfect movie and ruin it...why!!!!",0
"After looking at monkeys (oops apes) for more than one hour, I was feeling like one too. I was an ape, spending money on this movie. Please people, hold you money in your pocket and go see some funny movie like Bridget Jones's Diary..",0
"Apart from Helen Bonham Carter, there is nothing worthy about this movie....And the surprise ending?! The thought of a sequel is even more annoying. Save your money, wait for the video and ignore that too.",0
Not good! Rent or buy the original! Watch this only if someone has a gun to your head and then....maybe.<br /><br />It is like claiming an Elvis actor is as good as the real King.,0
"while watching this piece of crap! The Day after, I saw a 1min Trailer - that one minute included all, ALL what was at least not boring to watch...<br /><br />so don't waste money or time on this one, get the original, it's much better though the effects might not be up to date...",0
"I had VERY low expectations for this alleged ""re-imagining"" of the original -- and they weren't even met! What were they thinking? (Answer: They weren't.) Please don't waste your time on this Hollywood trash fest. Clip your nails, balance your checkbook, do anything besides watch this. Remember: If you rent stuff like this, it will only ensure they make more.",0
"Devil Dog sets your heart racing. It's brilliantly paced, the ending comes like a bolt out of the blue and plunges itself into the very centre of your being. You'll never look at your dog the same way again. In fact you'll start thinking of having it put down - BY A PRIEST! FANTASTIC!",0
"As interesting as a sheet of cardboard, this dispensable period piece has little going for it. It's overly wordy and fails spectacularly to evoke the tension and fear that the real-life characters must have felt as they dodged the French Revolution's fickle hand of justice. Eric Rohmer at 82? It shows.",0
"Some movies are repellent but still fascinating (Pulp Fiction); others are simply boring. This movie has an almost unique feature of being both utterly repellent and totally boring. By the end I didn't care about any of the characters, I just wanted all of them dead so I could get out of the theatre.",0
"I rated this a 3. The dubbing was as bad as I have seen. The plot - yuck. I'm not sure which ruined the movie more. Jet Li is definitely a great martial artist, but I'll stick to Jackie Chan movies until somebody tells me Jet's English is up to par.",0
"This movie will confuse you to death. Furthermore, if your a Denise Richards' fan, don't even think of renting this movie. Besides getting top billing by being on the cover and about 10 minutes of air time if that, she has nothing to do with the movie or the many messed up plots.",0
"Just as ""ITS A MAD, MAD, MAD, MAD WORLD"" is at the top of my list for all time greatest comedies ever made, this one is at the very bottom. (Of course, I could be wrong-not having seen ""SAVING SILVERMAN"") In other words, it's a lame, lame, lame, lame comedy.<br /><br />Rating: 1/2* out of *****",0
"Yes, you guessed it. Another movie where identical twins switch places. I think now that the Olsen twins are getting older they should try and make the plot less predictable and less like re-runs of 'Full House'. If you plan on seeing this film, don't. Watch 'The Parent Trap' instead. It's more entertaining.",0
"Long on action and stunt work, but so short on character delineation and development that it failed to hold our interest. Not always easy to figure out which side a character is on and who's doing what to whom.",0
"Well, not yet, at least.<br /><br />It's not listed in the worst 100...<br /><br />So let's all team up, and put it in it's rightful place.<br /><br />This is truly a bad movie. (And I liked Ishtar!) ;)",0
"<br /><br />A friend of mine enjoys watching the worst films he can possibly find, and I have a good laugh watching them with him.<br /><br />I have told him if he puts this one on again I will be forced to give him a good kicking.<br /><br />He knows I am serious!<br /><br />",0
"Although Twenty Minutes of Love is a harmless attempt at an early comedy, it was difficult to follow and the film quality was not very good. It does have a couple of moments that are funny, but I have seen better by Charlie Chaplin.",0
"The only remarkable fact is the participation of Klaus Kinski who plays a priest. Don't ask me why he does it! A bad, bad movie overall.<br /><br />",0
"It's a good movie if you plan to watch lots of landscapes and animals, like an animal documentary. And making Pierce Brosnan an indian make you wonder 'Does all those people don't recognize if someone isn't indian at plain sight?'",0
"This movie is terrible. The suspense is spent waiting for a point. There isn't much of one.<br /><br />Aside from a few great lines ( ""I found a tooth in my apartment"" ), and the main characters dedication to killing himself, it's a collection of supposedly eerie sounds.<br /><br />",0
Bad acting. Bad writing. This was a poorly written film. It's too bad because it had some potential. It's not even close to American Pie or Something about Mary as previous comments might have you believe. Rent it at dollar night from you local video store if you're kind of bored.,0
"A routine mystery/thriller concerning a killer that lurks in the swamps. During the early days of television, this one was shown so often, when Dad would say ""What's on TV tonight?"" and we'd tell him ""Strangler of the Swamp"" he'd pack us off to the movies. We went to the movies a lot in those days!",0
"This movie is about as underrated as Police Acadmey Mission to Moscow. This movie is never funny. It's maybe the worst comedy spoof ever made. Very boring,and dumb beyond belief. For those people that think this movie is underrated god help you. I give this movie * out of ****<br /><br />",0
"I have to admit that by moments I had to laugh at how bad that movie was... But the laughs were too few and since this whole thing was in no way a parody, it felt more like an insult to the viewer's intelligence. The worst acting I have ever seen from any of these people...",0
"Comment this movie is impossible. Is terrible, very improbable, bad interpretation e direction. Not look!!!!!",0
The only saving grace of this movie is that it serves as the 0 end of the movie rating scale. Now if I see a movie that really stinks I say this movie was a real Pecker. I believe this movie is a perfect example of Christina Ricci's one dimensional acting. Horrible,0
"This was one of the worst movies i have ever seen. The plot is awful, and the acting is worse. The jokes that are attempted absolutley suck. Don't bother to waste your time on a dumb movie such as this. And if for some reason that you do want to see this movie, don't watch it with your parents.",0
"This movie really deserves the MST3K treatment. A pseudo-ancient fantasy hack-n-slash tale featuring twin barbarian brothers with a collective IQ of hot water, character names that seem to have been derived from a Mad Libs book, and such classic lines as ""Hold her down and uncover her belly!"", The Barbarians crosses over into the ""so bad, it's good"" territory.",0
I honestly don't understand how tripe like this gets made. The worst junior-high talent show skit you've ever seen is more entertaining than this film. Will Ferrell's wrestling fetish provides the only (briefly) humorous moments. Utterly horrible.,0
"being a NI supporter, it's hard to objectively review a movie glorifying ulster nationalists. characters who are hard to root for, typical heavy-handed anti-violence messages, and a predictable 'poetic justice' ending makes this an awkward watch...",0
Bad Movie - saw it at the TIFF and the movie gives me a sense of 'been there done that' - it reminds me alot of the movie Blow - expect the Blow was actually interesting.<br /><br />This one story told two ways and both times it is not told that well.<br /><br />,0
"I've tried to watch this so-called comedy, but it's very hard to bear. This is a bad, narrow-minded, cliché-ridden movie. Definitively not funny, but very much boring and annoying, indeed. Bad script, bad acting. It's a complete waste of time - and there remains nothing more to say, I'm afraid.<br /><br />1 out of 10 points.",0
"This was a horrible film! I gave it 2 Points, one for Angelina Jolie and a second one for the beautiful Porsche in the beginning... Other than that the story just plain sucked and cars racing through cities wasn't so new in 1970. The Happyend was probably what annoyed me the most, seldomly seen anything so constructed!",0
"and this movie has crossed it. I have never seen such a terrible movie in my life! I mean, a kid's head getting cut off from the force of an empty sled? A snowman with a costume that has the seams clearly visible? This was a pitiful excuse for a movie.",0
"THis movie may be the worst movie I have ever seen. Basically it is right above Leprachaun 5, the only difference is that it missing Ice T. The scene where he does the chick with the carrott...priceless. Oh yeah they made a second one, genius",0
"Working with one of the best Shakespeare sources, this film manages to be creditable to it's source, whilst still appealing to a wider audience.<br /><br />Branagh steals the film from under Fishburne's nose, and there's a talented cast on good form.",0
"Who? What? Where? When? Why? The acting was terrible. Very robotic, rehearsed. I have seen all of the actors in this film in better roles. The screenplay was very elementary. By the end of this film, the story line was tied up. And Jeane Claude LaMarre should be tied up, too. So that he never attempts to write/direct another film.",0
"Ugh. This is a terrible film, full of disastrous comic relief, no scares, and scary leaps in story and plotline. The only creepy thing here is the leading lady's hats. Lugosi was on his downhill slide and it shows. I give this a 1, and this ain't no fun.",0
